Model,PCA,Actual Class,Predicted Class,Count
Logistic Regression,No PCA,0,0,23629
Logistic Regression,No PCA,0,1,3552
Logistic Regression,No PCA,1,0,6030
Logistic Regression,No PCA,1,1,27858
Logistic Regression,PCA 95%,0,0,22223
Logistic Regression,PCA 95%,0,1,4958
Logistic Regression,PCA 95%,1,0,8009
Logistic Regression,PCA 95%,1,1,25879
Decision Tree,No PCA,0,0,27134
Decision Tree,No PCA,0,1,47
Decision Tree,No PCA,1,0,44
Decision Tree,No PCA,1,1,33844
Decision Tree,PCA 95%,0,0,26981
Decision Tree,PCA 95%,0,1,200
Decision Tree,PCA 95%,1,0,241
Decision Tree,PCA 95%,1,1,33647
kNN,No PCA,0,0,27179
kNN,No PCA,0,1,2
kNN,No PCA,1,0,0
kNN,No PCA,1,1,33888
kNN,PCA 95%,0,0,27178
kNN,PCA 95%,0,1,3
kNN,PCA 95%,1,0,2
kNN,PCA 95%,1,1,33886
