Model,PCA Setting,Accuracy Mean,Accuracy Std,Balanced Accuracy Mean,F1-weighted Mean,F1-macro Mean,Training Time Mean,Training Time Std,Avg Components,Num Folds
Logistic Regression,No PCA,0.8425,0.0029,0.8451,0.843,0.8418,0.4475,0.0283,,15
Logistic Regression,PCA 70%,0.6822,0.0041,0.6819,0.683,0.6803,0.0879,0.001,17.0,15
Logistic Regression,PCA 80%,0.711,0.0059,0.7129,0.7119,0.71,0.0948,0.0026,26.0,15
Logistic Regression,PCA 90%,0.7558,0.0046,0.759,0.7565,0.7551,0.1077,0.0035,41.0,15
Logistic Regression,PCA 95%,0.7875,0.0043,0.7905,0.7882,0.7868,0.1368,0.0046,56.0,15
Logistic Regression,PCA 99%,0.8283,0.004,0.8306,0.8287,0.8274,0.2491,0.0158,78.0,15
Decision Tree,No PCA,0.9984,0.0004,0.9984,0.9984,0.9984,0.3031,0.0173,,15
Decision Tree,PCA 70%,0.9907,0.0013,0.9906,0.9907,0.9906,0.7985,0.0224,17.0,15
Decision Tree,PCA 80%,0.9918,0.0009,0.9917,0.9918,0.9917,1.2524,0.0416,26.0,15
Decision Tree,PCA 90%,0.9914,0.0012,0.9913,0.9914,0.9913,2.1354,0.0836,41.0,15
Decision Tree,PCA 95%,0.9921,0.0009,0.992,0.9921,0.992,3.0971,0.1753,56.0,15
Decision Tree,PCA 99%,0.9929,0.0011,0.9929,0.9929,0.9928,4.6115,0.2935,78.0,15
kNN,No PCA,1.0,0.0,1.0,1.0,1.0,0.0841,0.0036,,15
kNN,PCA 70%,0.9999,0.0001,0.9999,0.9999,0.9999,0.1018,0.0028,17.0,15
kNN,PCA 80%,1.0,0.0001,0.9999,1.0,1.0,0.1074,0.0167,26.0,15
kNN,PCA 90%,1.0,0.0,1.0,1.0,1.0,0.1052,0.0025,41.0,15
kNN,PCA 95%,0.9999,0.0,0.9999,0.9999,0.9999,0.1079,0.0143,56.0,15
kNN,PCA 99%,1.0,0.0,1.0,1.0,1.0,0.1071,0.002,78.0,15
