Model,PCA,Class,Precision,Recall,F1,Support
Logistic Regression,No PCA,0,0.7967,0.8693,0.8314,27181
Logistic Regression,No PCA,1,0.8869,0.8221,0.8533,33888
Logistic Regression,PCA 95%,0,0.7351,0.8176,0.7741,27181
Logistic Regression,PCA 95%,1,0.8392,0.7637,0.7997,33888
Decision Tree,No PCA,0,0.9984,0.9983,0.9983,27181
Decision Tree,No PCA,1,0.9986,0.9987,0.9987,33888
Decision Tree,PCA 95%,0,0.9911,0.9926,0.9919,27181
Decision Tree,PCA 95%,1,0.9941,0.9929,0.9935,33888
kNN,No PCA,0,1.0,0.9999,1.0,27181
kNN,No PCA,1,0.9999,1.0,1.0,33888
kNN,PCA 95%,0,0.9999,0.9999,0.9999,27181
kNN,PCA 95%,1,0.9999,0.9999,0.9999,33888
